Date,Week,Open PR Count,Closed PR Count,Closed Today,Opened Today,Net Debt
2017-1-1,0,77,11472,11472,11549,77
2017-1-2,1,79,11481,9,11,2
2017-1-3,1,84,11495,14,19,5
2017-1-4,1,82,11517,22,20,-2
2017-1-5,1,75,11544,27,20,-7
2017-1-6,1,81,11574,30,36,6
2017-1-7,1,64,11626,52,35,-17
2017-1-8,1,70,11635,9,15,6
2017-1-9,2,75,11643,8,13,5
2017-1-10,2,91,11659,16,32,16
2017-1-11,2,77,11698,39,25,-14
2017-1-12,2,91,11715,17,31,14
2017-1-13,2,89,11738,23,21,-2
2017-1-14,2,87,11769,31,29,-2
2017-1-15,2,93,11772,3,9,6
2017-1-16,3,104,11773,1,12,11
2017-1-17,3,111,11778,5,12,7
2017-1-18,3,54,11853,75,18,-57
2017-1-19,3,52,11880,27,25,-2
2017-1-20,3,50,11902,22,20,-2
2017-1-21,3,55,11920,18,23,5
2017-1-22,3,56,11928,8,9,1
2017-1-23,4,58,11934,6,8,2
2017-1-24,4,70,11945,11,23,12
2017-1-25,4,73,11960,15,18,3
2017-1-26,4,85,11973,13,25,12
2017-1-27,4,102,11979,6,23,17
2017-1-28,4,110,11987,8,16,8
2017-1-29,4,111,11995,8,9,1
2017-1-30,5,112,11998,3,4,1
2017-1-31,5,110,12013,15,13,-2
2017-2-1,5,129,12015,2,21,19
2017-2-2,5,142,12018,3,16,13
2017-2-3,5,152,12020,2,12,10
2017-2-4,5,117,12070,50,15,-35
2017-2-5,5,125,12073,3,11,8
2017-2-6,6,132,12075,2,9,7
2017-2-7,6,121,12101,26,15,-11
2017-2-8,6,120,12123,22,21,-1
2017-2-9,6,127,12132,9,16,7
2017-2-10,6,92,12176,44,9,-35
2017-2-11,6,92,12200,24,24,0
2017-2-12,6,99,12200,0,7,7
2017-2-13,7,113,12200,0,14,14
2017-2-14,7,123,12213,13,23,10
2017-2-15,7,127,12225,12,16,4
2017-2-16,7,142,12240,15,30,15
2017-2-17,7,156,12245,5,19,14
2017-2-18,7,154,12267,22,20,-2
2017-2-19,7,156,12267,0,2,2
2017-2-20,8,157,12273,6,7,1
2017-2-21,8,176,12277,4,23,19
2017-2-22,8,173,12290,13,10,-3
2017-2-23,8,191,12300,10,28,18
2017-2-24,8,209,12311,11,29,18
2017-2-25,8,215,12320,9,15,6
2017-2-26,8,220,12322,2,7,5
2017-2-27,9,228,12325,3,11,8
2017-2-28,9,253,12327,2,27,25
2017-3-1,9,264,12328,1,12,11
2017-3-2,9,266,12340,12,14,2
2017-3-3,9,285,12341,1,20,19
2017-3-4,9,294,12341,0,9,9
2017-3-5,9,297,12341,0,3,3
2017-3-6,10,304,12344,3,10,7
2017-3-7,10,286,12380,36,18,-18
2017-3-8,10,282,12415,35,31,-4
2017-3-9,10,249,12461,46,13,-33
2017-3-10,10,166,12556,95,12,-83
2017-3-11,10,97,12641,85,16,-69
2017-3-12,10,101,12650,9,13,4
2017-3-13,11,106,12653,3,8,5
2017-3-14,11,103,12675,22,19,-3
2017-3-15,11,106,12689,14,17,3
2017-3-16,11,114,12694,5,13,8
2017-3-17,11,125,12698,4,15,11
2017-3-18,11,135,12704,6,16,10
2017-3-19,11,143,12705,1,9,8
2017-3-20,12,144,12711,6,7,1
2017-3-21,12,108,12765,54,18,-36
2017-3-22,12,68,12823,58,18,-40
2017-3-23,12,47,12866,43,22,-21
2017-3-24,12,48,12882,16,17,1
2017-3-25,12,40,12915,33,25,-8
2017-3-26,12,52,12916,1,13,12
2017-3-27,13,61,12916,0,9,9
2017-3-28,13,49,12948,32,20,-12
2017-3-29,13,47,12981,33,31,-2
2017-3-30,13,49,13010,29,31,2
2017-3-31,13,53,13031,21,25,4
2017-4-1,13,65,13049,18,30,12
2017-4-2,13,70,13050,1,6,5
2017-4-3,14,79,13051,1,10,9
2017-4-4,14,96,13053,2,19,17
2017-4-5,14,136,13062,9,49,40
2017-4-6,14,145,13065,3,12,9
2017-4-7,14,155,13074,9,19,10
2017-4-8,14,164,13080,6,15,9
2017-4-9,14,173,13084,4,13,9
2017-4-10,15,177,13086,2,6,4
2017-4-11,15,178,13106,20,21,1
2017-4-12,15,190,13126,20,32,12
2017-4-13,15,206,13135,9,25,16
2017-4-14,15,209,13144,9,12,3
2017-4-15,15,212,13164,20,23,3
2017-4-16,15,221,13164,0,9,9
2017-4-17,16,228,13164,0,7,7
2017-4-18,16,92,13325,161,25,-136
2017-4-19,16,92,13346,21,21,0
2017-4-20,16,110,13375,29,47,18
2017-4-21,16,96,13406,31,17,-14
2017-4-22,16,99,13417,11,14,3
2017-4-23,16,106,13419,2,9,7
2017-4-24,17,122,13419,0,16,16
2017-4-25,17,140,13426,7,25,18
2017-4-26,17,133,13449,23,16,-7
2017-4-27,17,118,13489,40,25,-15
2017-4-28,17,122,13507,18,22,4
2017-4-29,17,125,13524,17,20,3
2017-4-30,17,132,13527,3,10,7
2017-5-1,18,138,13527,0,6,6
2017-5-2,18,94,13590,63,19,-44
2017-5-3,18,106,13600,10,22,12
2017-5-4,18,83,13650,50,27,-23
2017-5-5,18,58,13694,44,19,-25
2017-5-6,18,62,13719,25,29,4
2017-5-7,18,67,13719,0,5,5
2017-5-8,19,70,13720,1,4,3
2017-5-9,19,88,13720,0,18,18
2017-5-10,19,110,13723,3,25,22
2017-5-11,19,122,13727,4,16,12
2017-5-12,19,144,13728,1,23,22
2017-5-13,19,154,13731,3,13,10
2017-5-14,19,158,13734,3,7,4
2017-5-15,20,164,13734,0,6,6
2017-5-16,20,163,13756,22,21,-1
2017-5-17,20,162,13775,19,18,-1
2017-5-18,20,174,13786,11,23,12
2017-5-19,20,178,13809,23,27,4
2017-5-20,20,167,13838,29,18,-11
2017-5-21,20,169,13841,3,5,2
2017-5-22,21,177,13841,0,8,8
2017-5-23,21,169,13867,26,18,-8
2017-5-24,21,188,13871,4,23,19
2017-5-25,21,201,13872,1,14,13
2017-5-26,21,207,13875,3,9,6
2017-5-27,21,227,13877,2,22,20
2017-5-28,21,236,13878,1,10,9
2017-5-29,22,250,13878,0,14,14
2017-5-30,22,278,13881,3,31,28
2017-5-31,22,290,13886,5,17,12
2017-6-1,22,261,13936,50,21,-29
2017-6-2,22,137,14076,140,16,-124
2017-6-3,22,88,14148,72,23,-49
2017-6-4,22,93,14152,4,9,5
2017-6-5,23,85,14167,15,7,-8
2017-6-6,23,73,14202,35,23,-12
2017-6-7,23,63,14235,33,23,-10
2017-6-8,23,69,14248,13,19,6
2017-6-9,23,65,14284,36,32,-4
2017-6-10,23,81,14287,3,19,16
2017-6-11,23,73,14299,12,4,-8
2017-6-12,24,67,14312,13,7,-6
2017-6-13,24,72,14327,15,20,5
2017-6-14,24,87,14331,4,19,15
2017-6-15,24,96,14348,17,26,9
2017-6-16,24,66,14407,59,29,-30
2017-6-17,24,54,14444,37,25,-12
2017-6-18,24,57,14446,2,5,3
2017-6-19,25,61,14447,1,5,4
2017-6-20,25,71,14459,12,22,10
2017-6-21,25,44,14507,48,21,-27
2017-6-22,25,52,14527,20,28,8
2017-6-23,25,44,14565,38,30,-8
2017-6-24,25,51,14582,17,24,7
2017-6-25,25,54,14591,9,12,3
2017-6-26,26,56,14600,9,11,2
2017-6-27,26,46,14640,40,30,-10
2017-6-28,26,47,14677,37,38,1
2017-6-29,26,53,14696,19,25,6
2017-6-30,26,39,14743,47,33,-14
2017-7-1,26,58,14751,8,27,19
2017-7-2,26,64,14753,2,8,6
2017-7-3,27,71,14754,1,8,7
2017-7-4,27,96,14763,9,34,25
2017-7-5,27,102,14779,16,22,6
2017-7-6,27,113,14797,18,29,11
2017-7-7,27,106,14831,34,27,-7
2017-7-8,27,99,14864,33,26,-7
2017-7-9,27,113,14865,1,15,14
2017-7-10,28,127,14867,2,16,14
2017-7-11,28,116,14903,36,25,-11
2017-7-12,28,131,14919,16,31,15
2017-7-13,28,132,14954,35,36,1
2017-7-14,28,83,15033,79,30,-49
2017-7-15,28,72,15076,43,32,-11
2017-7-16,28,86,15076,0,14,14
2017-7-17,29,102,15077,1,17,16
2017-7-18,29,73,15137,60,31,-29
2017-7-19,29,78,15160,23,28,5
2017-7-20,29,86,15188,28,36,8
2017-7-21,29,93,15213,25,32,7
2017-7-22,29,84,15244,31,22,-9
2017-7-23,29,95,15251,7,18,11
2017-7-24,30,111,15254,3,19,16
2017-7-25,30,72,15312,58,19,-39
2017-7-26,30,84,15332,20,32,12
2017-7-27,30,96,15352,20,32,12
2017-7-28,30,98,15370,18,20,2
2017-7-29,30,97,15390,20,19,-1
2017-7-30,30,104,15390,0,7,7
2017-7-31,31,115,15393,3,14,11
2017-8-1,31,103,15417,24,12,-12
2017-8-2,31,96,15453,36,29,-7
2017-8-3,31,86,15487,34,24,-10
2017-8-4,31,90,15500,13,17,4
2017-8-5,31,88,15525,25,23,-2
2017-8-6,31,105,15526,1,18,17
2017-8-7,32,115,15528,2,12,10
2017-8-8,32,153,15534,6,44,38
2017-8-9,32,98,15626,92,37,-55
2017-8-10,32,100,15653,27,29,2
2017-8-11,32,115,15681,28,43,15
2017-8-12,32,123,15700,19,27,8
2017-8-13,32,130,15701,1,8,7
2017-8-14,33,149,15702,1,20,19
2017-8-15,33,64,15813,111,26,-85
2017-8-16,33,91,15833,20,47,27
2017-8-17,33,81,15872,39,29,-10
2017-8-18,33,107,15900,28,54,26
2017-8-19,33,94,15941,41,28,-13
2017-8-20,33,91,15949,8,5,-3
2017-8-21,34,108,15952,3,20,17
2017-8-22,34,136,15975,23,51,28
2017-8-23,34,101,16037,62,27,-35
2017-8-24,34,103,16065,28,30,2
2017-8-25,34,110,16090,25,32,7
2017-8-26,34,122,16095,5,17,12
2017-8-27,34,123,16104,9,10,1
2017-8-28,35,132,16108,4,13,9
2017-8-29,35,121,16145,37,26,-11
2017-8-30,35,117,16177,32,28,-4
2017-8-31,35,111,16205,28,22,-6
2017-9-1,35,122,16210,5,16,11
2017-9-2,35,137,16214,4,19,15
2017-9-3,35,146,16215,1,10,9
2017-9-4,36,154,16216,1,9,8
2017-9-5,36,165,16218,2,13,11
2017-9-6,36,156,16246,28,19,-9
2017-9-7,36,122,16291,45,11,-34
2017-9-8,36,97,16337,46,21,-25
2017-9-9,36,100,16352,15,18,3
2017-9-10,36,95,16363,11,6,-5
2017-9-11,37,88,16379,16,9,-7
2017-9-12,37,102,16383,4,18,14
2017-9-13,37,112,16387,4,14,10
2017-9-14,37,128,16395,8,24,16
2017-9-15,37,102,16450,55,29,-26
2017-9-16,37,101,16466,16,15,-1
2017-9-17,37,109,16466,0,8,8
2017-9-18,38,125,16470,4,20,16
2017-9-19,38,148,16484,14,37,23
2017-9-20,38,130,16529,45,27,-18
2017-9-21,38,136,16545,16,22,6
2017-9-22,38,139,16566,21,24,3
2017-9-23,38,138,16578,12,11,-1
2017-9-24,38,143,16580,2,7,5
2017-9-25,39,154,16580,0,11,11
2017-9-26,39,89,16670,90,25,-65
2017-9-27,39,69,16722,52,32,-20
2017-9-28,39,76,16746,24,31,7
2017-9-29,39,94,16752,6,24,18
2017-9-30,39,122,16752,0,28,28
2017-10-1,39,136,16754,2,16,14
2017-10-2,40,146,16756,2,12,10
2017-10-3,40,108,16826,70,32,-38
2017-10-4,40,128,16844,18,38,20
2017-10-5,40,124,16872,28,24,-4
2017-10-6,40,138,16886,14,28,14
2017-10-7,40,131,16925,39,32,-7
2017-10-8,40,146,16926,1,16,15
2017-10-9,41,159,16927,1,14,13
2017-10-10,41,130,16981,54,25,-29
2017-10-11,41,130,17006,25,25,0
2017-10-12,41,133,17032,26,29,3
2017-10-13,41,131,17056,24,22,-2
2017-10-14,41,134,17081,25,28,3
2017-10-15,41,144,17084,3,13,10
2017-10-16,42,151,17086,2,9,7
2017-10-17,42,104,17155,69,22,-47
2017-10-18,42,107,17189,34,37,3
2017-10-19,42,119,17212,23,35,12
2017-10-20,42,121,17238,26,28,2
2017-10-21,42,130,17258,20,29,9
2017-10-22,42,149,17263,5,24,19
2017-10-23,43,191,17272,9,51,42
2017-10-24,43,107,17431,159,75,-84
2017-10-25,43,115,17463,32,40,8
2017-10-26,43,122,17483,20,27,7
2017-10-27,43,131,17510,27,36,9
2017-10-28,43,123,17541,31,23,-8
2017-10-29,43,131,17541,0,8,8
2017-10-30,44,137,17543,2,8,6
2017-10-31,44,141,17563,20,24,4
2017-11-1,44,147,17580,17,23,6
2017-11-2,44,163,17586,6,22,16
2017-11-3,44,184,17587,1,22,21
2017-11-4,44,168,17622,35,19,-16
2017-11-5,44,168,17629,7,7,0
2017-11-6,45,173,17634,5,10,5
2017-11-7,45,185,17657,23,35,12
2017-11-8,45,166,17698,41,22,-19
2017-11-9,45,181,17703,5,20,15
2017-11-10,45,171,17740,37,27,-10
2017-11-11,45,158,17781,41,28,-13
2017-11-12,45,165,17791,10,17,7
2017-11-13,46,173,17799,8,16,8
2017-11-14,46,163,17841,42,32,-10
2017-11-15,46,123,17900,59,19,-40
2017-11-16,46,126,17932,32,35,3
2017-11-17,46,125,17955,23,22,-1
2017-11-18,46,124,17970,15,14,-1
2017-11-19,46,136,17971,1,13,12
2017-11-20,47,150,17973,2,16,14
2017-11-21,47,167,17975,2,19,17
2017-11-22,47,143,18014,39,15,-24
2017-11-23,47,125,18046,32,14,-18
2017-11-24,47,134,18048,2,11,9
2017-11-25,47,149,18048,0,15,15
2017-11-26,47,163,18049,1,15,14
2017-11-27,48,178,18049,0,15,15
2017-11-28,48,169,18081,32,23,-9
2017-11-29,48,170,18103,22,23,1
2017-11-30,48,192,18114,11,33,22
2017-12-1,48,205,18122,8,21,13
2017-12-2,48,161,18185,63,19,-44
2017-12-3,48,171,18186,1,11,10
2017-12-4,49,186,18186,0,15,15
2017-12-5,49,193,18205,19,26,7
2017-12-6,49,212,18210,5,24,19
2017-12-7,49,183,18263,53,24,-29
2017-12-8,49,197,18265,2,16,14
2017-12-9,49,206,18271,6,15,9
2017-12-10,49,219,18272,1,14,13
2017-12-11,50,231,18276,4,16,12
2017-12-12,50,153,18373,97,19,-78
2017-12-13,50,169,18381,8,24,16
2017-12-14,50,141,18434,53,25,-28
2017-12-15,50,153,18451,17,29,12
2017-12-16,50,171,18456,5,23,18
2017-12-17,50,179,18456,0,8,8
2017-12-18,51,187,18457,1,9,8
2017-12-19,51,201,18465,8,22,14
2017-12-20,51,208,18502,37,44,7
2017-12-21,51,247,18530,28,67,39
2017-12-22,51,287,18546,16,56,40
2017-12-23,51,259,18584,38,10,-28
2017-12-24,51,268,18588,4,13,9
2017-12-25,52,271,18590,2,5,3
2017-12-26,52,281,18591,1,11,10
2017-12-27,52,293,18591,0,12,12
2017-12-28,52,254,18639,48,9,-39
2017-12-29,52,178,18731,92,16,-76
2017-12-30,52,192,18749,18,32,14
2017-12-31,52,199,18750,1,8,7
2018-1-1,53,208,18750,0,9,9
2018-1-2,53,212,18751,1,5,4
2018-1-3,53,92,18890,139,19,-120
2018-1-4,53,43,18962,72,23,-49
2018-1-5,53,40,18985,23,20,-3
2018-1-6,53,37,19012,27,24,-3
2018-1-7,53,43,19016,4,10,6
2018-1-8,54,44,19026,10,11,1
2018-1-9,54,48,19050,24,28,4
